Time,TargetYaw,RealYaw,TargetHip,RealHip,TargetKnee,RealKnee
2.000528,-90,-90.00011,-6,-6.203744,106,106.185
2.014392,-110.3125,-89.66294,1.450859,-5.220805,100.4865,105.0999
2.030273,-110.3045,-89.00649,1.712352,-3.589089,100.2261,103.2371
2.050215,-110.2771,-88.17831,2.015415,-1.547477,99.93975,100.8808
2.066511,-110.2771,-88.17831,2.015415,-1.547477,99.93975,100.8808
2.083186,-110.1412,-87.01968,2.719829,0.04901813,99.33517,98.95129
2.099164,-110.0445,-88.40895,3.049341,1.541703,99.08009,98.66747
2.116749,-109.9316,-90.29024,3.367939,2.605926,98.84937,98.71738
2.133215,-109.7843,-92.04173,3.721521,3.141771,98.61108,98.66417
2.150944,-109.6246,-93.65736,4.055151,3.480978,98.40275,98.49894
2.168663,-109.429,-95.13132,4.416892,3.822141,98.1944,98.32367
2.182724,-109.429,-95.13132,4.416892,3.822141,98.1944,98.32367
2.199473,-109.0169,-96.44209,5.071016,4.333322,97.86191,98.08927
2.216931,-108.7678,-97.60388,5.418307,4.856883,97.7076,97.90579
2.233348,-108.4847,-98.62389,5.781871,5.339665,97.56184,97.74802
2.250505,-108.1967,-99.51478,6.12503,5.761599,97.4386,97.60648
2.266432,-108.1967,-99.51478,6.12503,5.761599,97.4386,97.60648
2.28314,-107.5515,-100.2619,6.81951,6.266501,97.22993,97.42505
2.300353,-107.1929,-100.9017,7.171357,6.725729,97.14411,97.28761
2.316189,-106.8002,-101.4453,7.534354,7.132448,97.06895,97.1805
2.33335,-106.4183,-101.9038,7.868559,7.495339,97.01138,97.09702
2.351603,-105.9821,-102.2813,8.230771,7.84548,96.96112,97.02898
2.366629,-105.9821,-102.2813,8.230771,7.84548,96.96112,97.02898
2.383666,-105.0697,-102.5463,8.932474,8.324163,96.898,96.95887
2.401004,-104.5688,-102.7384,9.290816,8.791321,96.88239,96.92076
2.416539,-104.0356,-102.8639,9.654534,9.218894,96.87752,96.90233
2.434887,-103.5379,-102.9318,9.979326,9.599065,96.88219,96.89661
2.447509,-103.5379,-102.9318,9.979326,9.599065,96.88219,96.89661
2.466234,-102.4897,-102.9026,10.62279,10.06583,96.91561,96.90485
2.484007,-101.8201,-102.8117,11.00856,10.52527,96.95045,96.9305
2.499621,-101.1599,-102.6678,11.37183,10.94752,96.99308,96.96664
2.517078,-100.5603,-102.4811,11.68834,11.3207,97.0378,97.00777
2.533606,-99.86857,-102.2486,12.03886,11.67243,97.09544,97.05557
2.550706,-99.19309,-101.9754,12.36709,12.00971,97.15707,97.10979
2.56679,-99.19309,-101.9754,12.36709,12.00971,97.15707,97.10979
2.582963,-97.77825,-101.6048,13.01356,12.45841,97.30003,97.20145
2.600107,-97.06111,-101.1969,13.3217,12.88494,97.37838,97.29463
2.617567,-96.28181,-100.7542,13.64276,13.26656,97.46719,97.38687
2.632934,-95.4687,-100.2775,13.96321,13.6134,97.56342,97.48027
2.649323,-94.73724,-99.7766,14.23935,13.92463,97.65269,97.57148
2.667014,-94.73724,-99.7766,14.23935,13.92463,97.65269,97.57148
2.683444,-93.06538,-99.17716,14.8298,14.33057,97.86501,97.71506
2.700568,-92.2364,-98.55011,15.10256,14.71303,97.97401,97.84993
2.716123,-91.35765,-97.89916,15.37779,15.04932,98.09196,97.97716
2.734067,-90.54723,-97.23259,15.6193,15.33777,98.2028,98.09587
2.748788,-89.59897,-96.5413,15.8872,15.60572,98.33494,98.21915
2.766377,-89.59897,-96.5413,15.8872,15.60572,98.33494,98.21915
2.783293,-87.85944,-95.76152,16.33851,15.93717,98.58397,98.39963
2.799695,-86.93458,-94.96209,16.55771,16.24474,98.71989,98.56535
2.816412,-86.03001,-94.15166,16.75835,16.50587,98.85528,98.71647
2.831819,-85.10146,-93.33023,16.95024,16.72843,98.99687,98.8616
2.850338,-84.24088,-92.50461,17.11541,16.9192,99.13058,99.00037
2.868101,-84.24088,-92.50461,17.11541,16.9192,99.13058,99.00037
2.882624,-82.20218,-91.57851,17.45788,17.15903,99.45776,99.22629
2.899472,-81.38376,-90.65279,17.57593,17.36785,99.59361,99.41662
2.917546,-80.43452,-89.72456,17.69872,17.53568,99.75474,99.59106
2.933247,-79.4179,-88.78864,17.81321,17.67227,99.9319,99.76529
2.950751,-78.53766,-87.85673,17.89787,17.78114,100.0895,99.93114
2.966653,-78.53766,-87.85673,17.89787,17.78114,100.0895,99.93114
2.982089,-76.67915,-86.8486,18.03135,17.89271,100.4363,100.1824
