time,x_rel,y_rel,z_rel
0,0.1719999,-0.02399993,-0.26
0.01999999,0.7900305,-0.2239662,-0.3701082
0.03999998,0.7900464,-0.2239374,-0.3701499
0.05999998,0.7900571,-0.2239214,-0.3701743
0.07999997,0.7900613,-0.2239143,-0.3701849
0.09999996,0.7900633,-0.223912,-0.3701882
0.12,0.7900635,-0.2239114,-0.3701881
0.14,0.7900627,-0.2239114,-0.3701875
0.1599999,0.7900618,-0.2239117,-0.3701866
0.1799999,0.7900621,-0.2239118,-0.3701862
0.1999999,0.7900624,-0.2239124,-0.3701858
0.2199999,0.7900618,-0.2239124,-0.3701857
0.2399999,0.7900624,-0.2239119,-0.3701854
0.2599999,0.7900621,-0.2239125,-0.3701854
0.2799999,0.7905434,-0.2238236,-0.3701461
0.2999999,0.7906381,-0.2222559,-0.3699105
0.3199999,0.7906562,-0.221051,-0.3698023
0.3399999,0.790189,-0.220491,-0.3698836
0.3599999,0.7895225,-0.2205009,-0.3702138
0.3799999,0.7888511,-0.2209012,-0.3707624
0.3999999,0.7882018,-0.2214724,-0.3712439
0.4199998,0.7877636,-0.2220681,-0.3716235
0.4399998,0.7875683,-0.2225963,-0.3718783
0.4599998,0.7876334,-0.2229891,-0.3720385
0.4799998,0.7876845,-0.2232466,-0.3719895
0.4999998,0.7880991,-0.2233846,-0.3720381
0.5199998,0.7885105,-0.2234103,-0.3718579
0.5399998,0.7889775,-0.2235199,-0.3716467
0.5599998,0.7894151,-0.2236443,-0.3714241
0.5799998,0.7897922,-0.2238055,-0.371188
0.5999998,0.790076,-0.2239135,-0.3709446
0.6199998,0.7901049,-0.2239629,-0.3704847
0.6399997,0.7900529,-0.2239917,-0.3702331
0.6599998,0.7899788,-0.2240014,-0.370148
0.6799998,0.7899158,-0.2240019,-0.3701412
0.6999997,0.7898941,-0.2239833,-0.3701757
0.7199997,0.7898957,-0.2239634,-0.3702113
0.7399997,0.7899097,-0.2239473,-0.3702366
0.7599998,0.7899266,-0.2239358,-0.3702514
0.7799997,0.7899417,-0.2239293,-0.3702587
0.7999997,0.7898663,-0.2237717,-0.3702777
0.8199997,0.7897186,-0.2234304,-0.3702769
0.8399997,0.789591,-0.2231316,-0.3703358
0.8599997,0.7894642,-0.2229134,-0.3704297
0.8799997,0.7893479,-0.2227752,-0.3705685
0.8999997,0.7892535,-0.2227133,-0.3707313
0.9199997,0.7891827,-0.222714,-0.3708991
0.9399996,0.7891522,-0.2227732,-0.3710503
0.9599997,0.789163,-0.2228579,-0.3711874
0.9799997,0.789221,-0.2229422,-0.371316
0.9999996,0.7893171,-0.2230141,-0.3714346
1.02,0.7894463,-0.2230691,-0.3715417
1.04,0.7895955,-0.2231108,-0.3716328
1.06,0.7897557,-0.2231399,-0.3717067
1.08,0.7899142,-0.2231621,-0.3717628
1.1,0.790035,-0.22321,-0.3717907
1.12,0.7901167,-0.2232824,-0.3718027
1.14,0.7901695,-0.2233477,-0.3718066
1.16,0.7901999,-0.2234097,-0.3718013
1.18,0.7902152,-0.2234688,-0.3717779
1.2,0.7902215,-0.2235224,-0.3717354
1.22,0.7902251,-0.2235634,-0.3716734
1.24,0.7902271,-0.2235881,-0.3715953
1.26,0.7902281,-0.223596,-0.3715046
1.279999,0.7902275,-0.2235861,-0.3714064
1.3,0.7902237,-0.2235606,-0.3713048
1.32,0.7902161,-0.2235229,-0.3712056
1.34,0.790204,-0.2234773,-0.3711141
1.36,0.7901869,-0.2234267,-0.3710346
1.38,0.7901662,-0.2233756,-0.3709709
1.399999,0.7901434,-0.2233272,-0.3709249
1.419999,0.7901185,-0.2232837,-0.3708986
1.439999,0.7900953,-0.2232486,-0.3708925
1.459999,0.7900736,-0.2232226,-0.370906
1.479999,0.7900551,-0.223204,-0.3709374
1.5,0.7900415,-0.2231968,-0.3709844
1.52,0.7900313,-0.223197,-0.3710442
1.539999,0.7900257,-0.2232053,-0.3711135
1.559999,0.7900256,-0.2232204,-0.3711888
1.579999,0.7900265,-0.2232397,-0.3712655
1.599999,0.7900314,-0.223263,-0.3713408
1.619999,0.7900385,-0.2232863,-0.3714114
1.639999,0.7900463,-0.2233107,-0.3714748
1.659999,0.7900539,-0.2233328,-0.3715274
1.679999,0.7900624,-0.2233533,-0.371569
1.699999,0.7900688,-0.2233698,-0.3715973
1.719999,0.7900749,-0.2233821,-0.3716122
1.739999,0.7900794,-0.2233902,-0.3716142
1.759999,0.7900834,-0.2233954,-0.3716041
1.779999,0.7900854,-0.2233951,-0.371583
1.799999,0.7900867,-0.2233915,-0.3715527
1.819999,0.7900867,-0.2233856,-0.3715151
1.839999,0.7900864,-0.2233764,-0.3714726
1.859999,0.790085,-0.2233663,-0.3714274
1.879999,0.7900834,-0.2233552,-0.3713813
1.899999,0.7900816,-0.2233437,-0.3713367
1.919999,0.7900797,-0.2233327,-0.3712956
1.939999,0.7900789,-0.2233231,-0.3712589
1.959999,0.7900766,-0.2233145,-0.3712286
1.979999,0.7900749,-0.2233082,-0.3712049
1.999999,0.790075,-0.2233033,-0.3711885
2.019999,0.790073,-0.2232999,-0.3711791
2.039999,0.790073,-0.2232993,-0.371177
2.059999,0.7900724,-0.2233009,-0.3711818
2.079999,0.7900726,-0.2233024,-0.3711917
2.099999,0.7900723,-0.2233066,-0.3712073
2.119999,0.7900721,-0.2233113,-0.3712264
2.139999,0.7900726,-0.2233168,-0.3712485
2.159999,0.7900724,-0.2233217,-0.371272
2.179999,0.7900727,-0.2233275,-0.3712961
2.199999,0.7900721,-0.2233321,-0.3713196
2.219999,0.7900718,-0.2233367,-0.3713423
2.239999,0.7900705,-0.22334,-0.3713621
2.259999,0.7900701,-0.2233427,-0.37138
2.279999,0.790069,-0.2233448,-0.371394
2.299999,0.7900669,-0.2233453,-0.3714046
2.319999,0.7900664,-0.223345,-0.3714122
2.339999,0.7900646,-0.2233441,-0.3714158
2.359999,0.7900635,-0.2233434,-0.3714162
2.379999,0.7900622,-0.2233414,-0.3714133
2.399999,0.7900617,-0.2233393,-0.3714076
2.419999,0.7900606,-0.2233367,-0.3714
2.439999,0.7900603,-0.2233339,-0.3713908
2.459999,0.7900597,-0.2233321,-0.3713801
2.479999,0.7900602,-0.22333,-0.3713686
2.499999,0.7900605,-0.2233284,-0.3713571
2.519999,0.7900603,-0.2233266,-0.3713461
2.539999,0.7900621,-0.2233257,-0.3713355
2.559999,0.7900616,-0.2233252,-0.3713259
2.579999,0.7900634,-0.2233247,-0.3713177
2.599999,0.7900634,-0.223325,-0.3713109
2.619999,0.790065,-0.223325,-0.3713055
2.639999,0.7900655,-0.2233258,-0.3713019
2.659999,0.7900662,-0.2233269,-0.3713
2.679999,0.7900662,-0.2233278,-0.3713002
2.699999,0.7900671,-0.2233287,-0.371301
2.719999,0.7900668,-0.2233299,-0.3713033
2.739999,0.7900667,-0.2233301,-0.3713067
2.759999,0.7900669,-0.223331,-0.3713111
2.779999,0.7900665,-0.2233316,-0.3713159
2.799999,0.7900658,-0.2233326,-0.3713216
2.819999,0.7900649,-0.2233327,-0.371327
2.839999,0.7900648,-0.2233327,-0.3713327
2.859999,0.7900632,-0.2233331,-0.3713376
2.879999,0.7900625,-0.2233335,-0.3713429
2.899999,0.7900618,-0.2233335,-0.371347
2.919999,0.7900612,-0.223333,-0.3713509
2.939999,0.79006,-0.2233326,-0.3713538
2.959999,0.7900596,-0.2233322,-0.3713565
2.979999,0.790059,-0.2233319,-0.3713579
2.999999,0.7900579,-0.2233316,-0.3713586
3.019999,0.7900578,-0.2233311,-0.3713587
3.039999,0.7900575,-0.223331,-0.3713581
3.059999,0.7900575,-0.2233305,-0.3713568
3.079999,0.7900575,-0.2233305,-0.3713549
3.099999,0.7900581,-0.2233301,-0.3713531
3.119999,0.7900572,-0.2233303,-0.3713505
3.139999,0.7900582,-0.22333,-0.371348
3.159999,0.7900589,-0.2233306,-0.3713453
3.179999,0.790059,-0.2233304,-0.3713424
3.199999,0.7900591,-0.2233306,-0.37134
3.219999,0.7900599,-0.2233306,-0.3713377
3.239999,0.7900597,-0.2233302,-0.3713355
3.259999,0.7900603,-0.2233307,-0.3713339
3.279999,0.7900601,-0.223331,-0.3713328
3.299999,0.7900603,-0.2233306,-0.3713314
3.319999,0.7900603,-0.2233304,-0.3713308
3.339999,0.7900559,-0.2233514,-0.371331
3.359999,0.7900518,-0.2233807,-0.3713306
3.379999,0.7900498,-0.223411,-0.3713297
3.399999,0.7900505,-0.2234368,-0.3713277
3.419999,0.7900543,-0.223456,-0.3713249
3.439999,0.7900617,-0.2234676,-0.3713211
3.459999,0.7900679,-0.2234733,-0.3713171
3.479999,0.7900741,-0.2234741,-0.3713132
3.499999,0.7900784,-0.2234733,-0.3713103
3.519999,0.790081,-0.2234697,-0.3713075
3.539999,0.7900811,-0.2234671,-0.3713056
3.559999,0.790081,-0.2234646,-0.3713041
3.579999,0.790079,-0.2234624,-0.3713029
3.599999,0.7900761,-0.223461,-0.3713023
3.619999,0.7900742,-0.2234601,-0.3713015
3.639999,0.7900723,-0.223459,-0.3713009
3.659999,0.7900698,-0.2234583,-0.3713006
3.679999,0.7900683,-0.2234566,-0.3713003
3.699999,0.790067,-0.2234548,-0.3713004
3.719999,0.7900664,-0.2234541,-0.3713009
3.739999,0.7900662,-0.2234525,-0.3713014
3.759999,0.7900648,-0.2234514,-0.3713022
3.779999,0.7900652,-0.2234502,-0.3713039
3.799999,0.7900643,-0.2234494,-0.3713057
3.819999,0.7900648,-0.2234497,-0.3713077
3.839999,0.7900639,-0.2234496,-0.3713102
3.859999,0.7900636,-0.2234495,-0.3713127
3.879999,0.7900641,-0.2234499,-0.3713152
3.899999,0.7900636,-0.2234505,-0.3713173
3.919999,0.7900637,-0.2234518,-0.3713194
3.939999,0.7900645,-0.2234523,-0.3713213
3.959999,0.7900647,-0.2234537,-0.3713224
3.979999,0.7900644,-0.223454,-0.3713234
3.999999,0.7900654,-0.2234551,-0.3713237
4.019999,0.7900656,-0.2234555,-0.3713238
4.039999,0.7900661,-0.2234564,-0.3713231
4.059999,0.7900668,-0.223456,-0.371322
4.079998,0.7900661,-0.2234564,-0.3713205
4.099998,0.7900674,-0.2234561,-0.3713193
4.119998,0.7900667,-0.2234564,-0.3713171
4.139998,0.7900673,-0.223456,-0.3713155
4.159998,0.7900674,-0.223456,-0.3713133
4.179998,0.7900672,-0.2234554,-0.3713116
4.199998,0.7900669,-0.2234549,-0.3713097
4.219998,0.7900668,-0.2234547,-0.3713085
4.239998,0.7900666,-0.2234543,-0.3713074
4.259998,0.7900664,-0.2234531,-0.371307
4.279998,0.7900668,-0.2234535,-0.3713065
4.299998,0.7900658,-0.2234527,-0.371306
4.319998,0.7900657,-0.2234533,-0.3713061
4.339998,0.7900656,-0.2234529,-0.3713063
4.359998,0.7900661,-0.2234526,-0.3713071
4.379999,0.7900656,-0.2234534,-0.371308
4.399999,0.7900657,-0.2234533,-0.3713089
4.419999,0.7900653,-0.2234531,-0.3713098
4.439999,0.7900656,-0.2234535,-0.3713114
4.459999,0.7900657,-0.2234532,-0.3713122
4.479999,0.7900658,-0.223454,-0.3713134
4.499999,0.7900653,-0.2234536,-0.3713143
4.519999,0.7900654,-0.2234544,-0.3713153
4.539999,0.7900657,-0.2234544,-0.3713157
4.559999,0.7900656,-0.2234546,-0.3713161
4.579998,0.790066,-0.2234551,-0.3713165
4.599998,0.7900656,-0.223455,-0.3713169
4.619998,0.7900656,-0.2234549,-0.3713169
4.639998,0.7900651,-0.2234547,-0.3713169
4.659998,0.7900654,-0.2234546,-0.3713166
4.679998,0.7900655,-0.2234551,-0.3713161
4.699998,0.7900653,-0.2234547,-0.3713159
4.719998,0.7900656,-0.2234544,-0.3713152
4.739998,0.7900652,-0.2234542,-0.3713145
4.759998,0.7900652,-0.2234537,-0.3713143
4.779998,0.7900648,-0.2234538,-0.3713134
4.799998,0.7900656,-0.2234534,-0.3713132
4.819998,0.7900649,-0.2234541,-0.3713127
4.839998,0.7900649,-0.223454,-0.3713124
4.859998,0.7900654,-0.2234533,-0.3713117
4.879998,0.7900651,-0.2234538,-0.3713113
4.899998,0.7900653,-0.2234531,-0.3713115
4.919998,0.7900651,-0.2234542,-0.3713113
4.939998,0.7900651,-0.2234539,-0.3713111
4.959998,0.7900655,-0.2234543,-0.3713114
4.979998,0.790065,-0.2234533,-0.3713116
4.999998,0.7900659,-0.2234542,-0.3713118
5.019998,0.7900649,-0.2234535,-0.3713119
5.039998,0.790066,-0.2234542,-0.3713127
5.059998,0.7900652,-0.223454,-0.3713125
5.079998,0.7900652,-0.2234542,-0.371313
5.099998,0.7900652,-0.2234545,-0.3713134
5.119998,0.7900654,-0.2234543,-0.3713132
5.139998,0.7900649,-0.2234541,-0.3713138
5.159998,0.790065,-0.2234539,-0.3713137
5.179998,0.790065,-0.2234544,-0.3713143
5.199998,0.7900654,-0.223454,-0.3713139
5.219998,0.7900649,-0.2234544,-0.3713142
5.239998,0.7900649,-0.2234543,-0.3713144
5.259998,0.7900649,-0.223454,-0.3713143
5.279998,0.7900651,-0.2234546,-0.3713145
5.299998,0.7900649,-0.2234539,-0.3713142
5.319998,0.7900648,-0.2234541,-0.3713141
5.339998,0.7900651,-0.2234541,-0.3713141
5.359998,0.7900653,-0.2234541,-0.3713141
5.379998,0.7900648,-0.223454,-0.3713139
5.399998,0.7900648,-0.2234538,-0.3713137
5.419998,0.7900648,-0.2234537,-0.3713139
5.439998,0.7900649,-0.2234536,-0.3713136
5.459998,0.7900647,-0.2234543,-0.3713135
5.479998,0.7900649,-0.2234538,-0.3713132
5.499998,0.7900649,-0.2234536,-0.3713134
5.519998,0.7900642,-0.2234541,-0.3713131
5.539998,0.7900652,-0.2234535,-0.371313
5.559998,0.7900649,-0.223454,-0.371313
5.579998,0.7900649,-0.2234535,-0.3713129
5.599998,0.7900646,-0.2234542,-0.371313
5.619998,0.7900646,-0.2234536,-0.3713129
5.639998,0.7900646,-0.2234538,-0.3713129
5.659998,0.7900644,-0.2234534,-0.371313
5.679998,0.7900646,-0.2234537,-0.3713131
5.699998,0.7900651,-0.2234541,-0.3713134
5.719998,0.7900639,-0.2234533,-0.3713133
5.739998,0.7900651,-0.223454,-0.3713136
5.759998,0.7900646,-0.2234536,-0.3713133
5.779998,0.7900646,-0.2234538,-0.3713133
5.799998,0.7900649,-0.2234538,-0.3713136
5.819998,0.7900644,-0.2234542,-0.3713136
5.839998,0.7900649,-0.2234539,-0.3713137
5.859998,0.7900648,-0.2234539,-0.3713136
5.879998,0.7900643,-0.2234537,-0.3713138
5.899998,0.7900645,-0.223454,-0.3713138
5.919998,0.790065,-0.2234539,-0.3713138
5.939998,0.790064,-0.2234537,-0.3713138
5.959998,0.7900649,-0.2234537,-0.371314
5.979998,0.7900639,-0.2234539,-0.3713139
5.999998,0.7900649,-0.2234537,-0.3713139
6.019998,0.7900642,-0.2234537,-0.3713139
6.039998,0.7900654,-0.2234538,-0.3713138
6.059998,0.7900649,-0.2234536,-0.3713135
6.079998,0.7900647,-0.2234541,-0.3713135
6.099998,0.7900649,-0.2234537,-0.3713136
6.119998,0.7900649,-0.2234543,-0.3713134
6.139998,0.7900649,-0.2234539,-0.3713135
6.159998,0.7900649,-0.2234547,-0.3713134
6.179998,0.7900651,-0.2234537,-0.3713135
6.199998,0.7900651,-0.2234545,-0.3713133
6.219998,0.7900649,-0.2234536,-0.3713132
6.239998,0.7900647,-0.2234543,-0.3713134
6.259998,0.7900652,-0.2234538,-0.3713137
6.279998,0.7900647,-0.2234542,-0.3713135
6.299998,0.7900652,-0.2234536,-0.3713132
6.319998,0.7900648,-0.2234542,-0.3713133
6.339998,0.790065,-0.2234533,-0.3713133
6.359998,0.7900648,-0.2234542,-0.3713132
6.379998,0.7900657,-0.2234536,-0.3713135
6.399998,0.7900646,-0.2234547,-0.3713133
6.419998,0.7900652,-0.2234538,-0.3713134
6.439998,0.790065,-0.2234544,-0.3713136
6.459998,0.7900652,-0.2234539,-0.3713135
6.479998,0.7900647,-0.2234539,-0.3713138
6.499998,0.7900652,-0.2234535,-0.3713136
6.519998,0.7900647,-0.2234539,-0.3713136
6.539998,0.7900652,-0.2234538,-0.3713136
6.559998,0.7900647,-0.2234538,-0.3713137
6.579998,0.7900647,-0.2234535,-0.3713138
6.599998,0.7900645,-0.223454,-0.3713136
6.619998,0.7900651,-0.2234535,-0.3713138
6.639997,0.7900646,-0.2234539,-0.3713137
6.659997,0.7900651,-0.2234539,-0.3713138
6.679997,0.7900646,-0.2234542,-0.3713133
6.699997,0.7900651,-0.2234537,-0.3713138
6.719997,0.7900646,-0.2234539,-0.3713136
6.739997,0.7900648,-0.2234542,-0.3713136
6.759997,0.7900646,-0.2234535,-0.3713135
6.779998,0.7900645,-0.223454,-0.3713135
6.799998,0.7900649,-0.2234537,-0.3713134
6.819998,0.7900649,-0.2234541,-0.3713135
6.839998,0.7900649,-0.2234538,-0.3713135
6.859998,0.7900638,-0.2234539,-0.3713134
6.879998,0.7900648,-0.2234541,-0.3713135
6.899998,0.7900643,-0.2234537,-0.3713136
6.919998,0.7900642,-0.2234536,-0.3713134
6.939998,0.7900645,-0.2234535,-0.3713137
6.959998,0.7900645,-0.2234541,-0.3713136
6.979998,0.7900642,-0.2234538,-0.3713134
6.999998,0.7900652,-0.2234542,-0.3713134
7.019998,0.7900639,-0.2234537,-0.3713135
7.039998,0.7900648,-0.2234535,-0.3713135
7.059998,0.7900645,-0.2234536,-0.3713136
7.079998,0.7900638,-0.2234537,-0.3713138
7.099998,0.7900648,-0.2234537,-0.3713138
7.119998,0.790064,-0.2234543,-0.3713136
7.139997,0.7900643,-0.2234539,-0.3713138
7.159997,0.790065,-0.2234538,-0.3713134
7.179997,0.7900643,-0.2234538,-0.3713137
7.199997,0.7900644,-0.2234541,-0.3713134
7.219997,0.7900646,-0.2234538,-0.3713135
7.239997,0.7900642,-0.2234536,-0.3713135
7.259997,0.7900643,-0.2234536,-0.3713139
7.279997,0.7900648,-0.2234544,-0.3713138
7.299997,0.7900641,-0.2234537,-0.3713137
7.319997,0.7900643,-0.2234537,-0.3713136
7.339997,0.7900648,-0.223454,-0.3713136
7.359997,0.7900646,-0.2234541,-0.3713135
7.379997,0.7900646,-0.2234539,-0.3713138
7.399997,0.7900648,-0.2234535,-0.3713136
7.419997,0.7900648,-0.2234544,-0.3713135
7.439997,0.790065,-0.2234537,-0.3713136
7.459997,0.7900645,-0.2234541,-0.3713135
7.479997,0.790065,-0.2234536,-0.3713137
7.499997,0.7900643,-0.2234543,-0.3713137
7.519997,0.7900647,-0.2234536,-0.3713135
7.539997,0.7900647,-0.2234541,-0.3713136
7.559998,0.7900645,-0.223454,-0.3713137
7.579998,0.7900648,-0.2234542,-0.3713136
7.599998,0.7900648,-0.2234538,-0.3713136
7.619998,0.7900648,-0.2234536,-0.3713135
7.639997,0.7900645,-0.2234538,-0.3713139
7.659997,0.7900648,-0.2234542,-0.3713135
7.679997,0.7900645,-0.2234537,-0.3713138
7.699997,0.7900645,-0.2234538,-0.3713137
7.719997,0.7900648,-0.223454,-0.3713137
7.739997,0.790065,-0.2234538,-0.3713136
7.759997,0.7900648,-0.2234538,-0.3713133
7.779997,0.7900646,-0.2234542,-0.3713137
7.799997,0.7900646,-0.2234538,-0.3713135
7.819997,0.7900651,-0.2234536,-0.3713139
7.839997,0.7900646,-0.2234538,-0.3713137
7.859997,0.7900651,-0.2234542,-0.3713137
7.879997,0.7900646,-0.2234537,-0.3713136
7.899997,0.7900648,-0.2234543,-0.3713135
7.919997,0.7900646,-0.2234541,-0.3713136
7.939997,0.790065,-0.2234538,-0.3713136
7.959997,0.7900646,-0.2234541,-0.3713137
7.979997,0.7900648,-0.223454,-0.3713137
7.999997,0.7900643,-0.2234537,-0.3713136
8.019998,0.7900648,-0.2234536,-0.3713138
8.039997,0.7900645,-0.2234543,-0.3713134
8.059998,0.7900645,-0.2234537,-0.3713136
8.079997,0.7900648,-0.2234538,-0.3713135
8.099998,0.7900645,-0.2234537,-0.3713135
8.119997,0.790065,-0.2234543,-0.3713135
8.139997,0.7900646,-0.2234538,-0.3713135
8.159997,0.7900646,-0.2234537,-0.3713136
8.179997,0.7900648,-0.223454,-0.3713137
8.199997,0.7900644,-0.223454,-0.3713135
8.219997,0.7900648,-0.2234535,-0.3713136
8.239997,0.7900646,-0.2234541,-0.3713135
8.259997,0.7900646,-0.2234539,-0.3713134
8.279997,0.7900646,-0.2234539,-0.3713133
8.299997,0.7900646,-0.2234538,-0.3713137
8.319997,0.7900646,-0.2234536,-0.3713137
8.339997,0.7900646,-0.2234539,-0.3713136
8.359997,0.7900648,-0.2234535,-0.3713135
8.379997,0.7900646,-0.2234541,-0.3713132
8.399997,0.790065,-0.2234536,-0.3713135
8.419997,0.7900643,-0.223454,-0.3713135
8.439997,0.790065,-0.2234538,-0.3713135
8.459997,0.7900646,-0.2234539,-0.3713135
8.479997,0.7900641,-0.2234539,-0.3713135
8.499997,0.7900648,-0.2234537,-0.3713137
8.519997,0.7900643,-0.2234542,-0.3713136
8.539997,0.7900645,-0.2234535,-0.3713136
8.559997,0.790064,-0.2234542,-0.3713134
