time,x_rel,y_rel,z_rel
4.539999,-2.884251,-1.315779,0.0002116075
4.559999,-2.883938,-1.314498,0.0001551369
4.579998,-2.883569,-1.313307,7.172706E-05
4.599998,-2.883125,-1.312192,-4.055741E-05
4.619998,-2.882588,-1.311151,-0.0001816319
4.639998,-2.881953,-1.310209,-0.0003535875
4.659998,-2.881224,-1.309379,-0.0005581109
4.679998,-2.880403,-1.308663,-0.0007956225
4.699998,-2.879481,-1.308012,-0.001068338
4.719998,-2.878436,-1.307394,-0.001369988
4.739998,-2.877274,-1.306811,-0.001698057
4.759998,-2.876006,-1.306265,-0.002051763
4.779998,-2.874656,-1.305756,-0.002429386
4.799998,-2.873222,-1.305254,-0.002832356
4.819998,-2.871716,-1.304736,-0.003257053
4.839998,-2.870146,-1.304212,-0.003706606
4.859998,-2.868528,-1.3037,-0.004176226
4.879998,-2.866885,-1.303211,-0.004662972
4.899998,-2.865215,-1.302738,-0.005166164
4.919998,-2.863544,-1.302292,-0.005676474
4.939998,-2.861872,-1.301877,-0.006195804
4.959998,-2.860184,-1.301475,-0.006720312
4.979998,-2.858485,-1.301093,-0.007244308
4.999998,-2.85678,-1.300738,-0.007768182
5.019998,-2.855033,-1.300409,-0.008288693
5.039998,-2.853216,-1.300096,-0.008800087
5.059998,-2.851336,-1.299811,-0.009297466
5.079998,-2.849411,-1.299566,-0.009778051
5.099998,-2.847473,-1.299371,-0.01024012
5.119998,-2.8455,-1.299224,-0.01068402
5.139998,-2.843491,-1.299116,-0.01110709
5.159998,-2.841451,-1.299046,-0.01151268
5.179998,-2.839399,-1.299018,-0.01189672
5.199998,-2.837358,-1.299031,-0.0122586
5.219998,-2.835307,-1.29909,-0.01259776
5.239998,-2.833227,-1.299183,-0.01291335
5.259998,-2.83113,-1.299309,-0.01320481
5.279998,-2.829036,-1.299464,-0.0134728
5.299998,-2.827005,-1.299644,-0.01372103
5.319998,-2.824991,-1.299861,-0.01394908
5.339998,-2.822964,-1.300109,-0.01415743
5.359998,-2.820934,-1.300384,-0.01434452
5.379998,-2.818916,-1.300681,-0.01451125
5.399998,-2.816932,-1.300996,-0.01465902
5.419998,-2.814953,-1.301348,-0.0147856
5.439998,-2.812955,-1.301739,-0.01489216
5.459998,-2.810952,-1.302162,-0.01497903
5.479998,-2.808964,-1.30261,-0.01504835
5.499998,-2.807012,-1.303078,-0.01510167
5.519998,-2.80509,-1.303587,-0.01512728
5.539998,-2.80317,-1.304142,-0.01513758
5.559998,-2.801272,-1.304731,-0.01512862
5.579998,-2.799411,-1.305343,-0.01510304
5.599998,-2.797605,-1.305967,-0.01506182
